variable,value,unit,source,notes
aoi_area_ha,1722.070000,ha,jrc_gfc2020+hansen_lossyear,AOI area.
baseline_forest_and_commodity_overlap_ha,87.420000,ha,commodity:forestdatapartnership,JRC 2020 forest baseline intersected with observed commodity layer
baseline_forest_and_commodity_overlap_hansen10pct_baseline_ha,11.760000,ha,commodity:forestdatapartnership+hansen_treecover2000,Hansen treecover2000 canopy forest baseline intersected with observed commodity layer
baseline_forest_without_detected_loss_ha,195.490000,ha,jrc_gfc2020+hansen_lossyear,
both_source_agreement_new_commodity_since_baseline_ha,0.430000,ha,commodity:forestdatapartnership,new commodity after the baseline year where FDP and MapBiomas agree
commodity_area_ha,482.280000,ha,commodity_provider+jrc_gfc2020+hansen_lossyear,Configured commodity class area inside AOI.
commodity_baseline_observation_year,2020,year,commodity:forestdatapartnership,
commodity_observation_year,2024,year,commodity:forestdatapartnership,
commodity_percent_of_aoi,28.005830,percent,commodity:forestdatapartnership,
commodity_probability_admitted_share_of_valid_pixels_percent,20.831900,percent,commodity:forestdatapartnership,share of valid AOI pixels admitted at the configured threshold (valid pixels are the primary denominator; see the commodity summary JSON for the full sensitivity table across thresholds)
commodity_probability_configured_threshold,0.025000,probability_fraction,commodity:forestdatapartnership,probability_threshold mode only: probability >= threshold defines the candidate mask
commodity_probability_mean,0.061332,probability_fraction,commodity:forestdatapartnership,mean probability over valid AOI pixels
commodity_probability_median,0.000058,probability_fraction,commodity:forestdatapartnership,median probability over valid AOI pixels
commodity_probability_valid_coverage_of_aoi_percent,100.000000,percent,commodity:forestdatapartnership,share of AOI pixels with a valid (non-nodata) probability value
effective_end_year,2025,year,jrc_gfc2020+hansen_lossyear,
evidence_start_year,2021,year,jrc_gfc2020+hansen_lossyear,
fdp_new_commodity_since_baseline_ha,225.290000,ha,commodity:forestdatapartnership,FDP latest commodity probability mask minus FDP baseline-year commodity probability mask
fdp_only_new_commodity_since_baseline_ha,224.860000,ha,commodity:forestdatapartnership,new commodity after the baseline year present in FDP and absent from MapBiomas
forest_baseline_2020_ha,219.260000,ha,jrc_gfc2020+hansen_lossyear,JRC 2020 forest baseline area inside AOI.
forest_baseline_2020_percent_of_aoi,12.732351,percent,jrc_gfc2020+hansen_lossyear,JRC baseline forest share of AOI.
forest_baseline_hansen10pct_2000_ha,95.480000,ha,hansen_treecover2000+hansen_lossyear,AOI & Hansen treecover2000 >= threshold & no Hansen loss in 2001-2020
forest_baseline_hansen10pct_2000_percent_of_aoi,5.544490,percent,hansen_treecover2000+hansen_lossyear,
