round,date,party,move_recorded,stage_contemporary,stage_retrospective,stage_source,stage_rule_citation,type_contemporary,type_retrospective,type_source,type_rule_citation,confidence,record_ref,commit_or_manifest_ref,notes
1,2026-07-16,codex,evidence,,formation,retrospective,"docs/framework_v3.md section 2.2: formation is the first emitted statement round",resolved,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0001.md,a1fc43c,"Initial bundle creation from docs/framework_v2.md; no fc-stage was recorded contemporaneously."
2,2026-07-16,codex,evidence,,enrichment,retrospective,"docs/framework_v3.md section 2.2: later evidence without a rival position is enrichment",resolved,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0002.md,3d9f217,"HTML inspection renderer added; no content claim revised and no rival position recorded."
3,2026-07-16,claude,objection,,contestation,retrospective,"docs/framework_v3.md section 2.2: objection with maintained findings against the current state is contestation",II,II,contemporary_plus_retrospective,"docs/framework_v3.md section 2.4 and round-0003 Classification rationale: mechanical Type I defects resolved and Type II residue left open",medium,inquiry/round-0003.md,284ffec,"The round body is mixed: it fixes Type I mechanical issues while recording open Type II judgment/specification residue."
4,2026-07-19,claude,frame-change,consolidation,consolidation,contemporary,"docs/framework_v3.md section 2.2: adopted frame-change without a standing rival is consolidation",resolved,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0004.md,975206a,"The legacy type value resolved is preserved in the round file but excluded from the retrospective type trajectory."
5,2026-07-19,claude,evidence,enrichment,enrichment,contemporary,"docs/framework_v3.md section 2.2: later evidence/tooling addition without a rival position is enrichment",resolved,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0005.md,6537fab,"The legacy type value resolved is preserved in the round file but excluded from the retrospective type trajectory."
6,2026-07-19,claude,evidence,enrichment,enrichment,contemporary,"docs/framework_v3.md section 2.2: later evidence/tooling addition without a rival position is enrichment",resolved,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0006.md,"../okf-bundle-snapshots/framework-self/2026-07-19-r0006-0445f09/manifest.json","The legacy type value resolved is preserved in the round file but excluded from the retrospective type trajectory."
7,2026-07-19,codex,objection,critique,critique,contemporary,"docs/framework_v3.md section 2.2: objection used as audit/probe without a maintained rival position is critique",,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0007.md,"../okf-bundle-snapshots/framework-self/2026-07-19-r0007-c332330/manifest.json","Structure and reference audit revised current concepts without opening a live rival framework."
8,2026-07-20,codex,frame-change,consolidation,consolidation,contemporary,"docs/framework_v3.md section 2.2: adopted frame-change without a standing rival is consolidation",,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0008.md,25c9066,"Round-scope convention adopted: repository rounds and bundle rounds are distinct."
9,2026-07-20,codex,evidence,enrichment,enrichment,contemporary,"docs/framework_v3.md section 2.2: later evidence/metadata repair without a rival position is enrichment",,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0009.md,"../okf-bundle-snapshots/framework-self/2026-07-20-r0009-43c1962/manifest.json","Metadata repair made round 8 parseable for generated manifests and catalogs."
10,2026-07-21,codex,evidence,enrichment,enrichment,contemporary,"docs/framework_v3.md section 2.2: literature context added without a rival position is enrichment",,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0010.md,ea51694,"Step 1 related-work positioning enriched the self-description."
11,2026-07-21,codex,evidence,enrichment,enrichment,contemporary,"docs/framework_v3.md section 2.2: formal definitions added without a rival position are enrichment",,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0011.md,84db34c,"Step 2 formal core enriched the self-description and superseded method/formal/result concepts."
12,2026-07-21,codex,evidence,enrichment,enrichment,contemporary,"docs/framework_v3.md section 2.2: specification detail added without a rival position is enrichment",,not_applicable,retrospective,"spec/SPEC.md section 5.2: fc-type-at-round is allowed only on contestation rounds",high,inquiry/round-0012.md,77d24b3,"Step 3 made provisional bundle conventions normative."
