metric_id,metric_name,value,unit,source_rounds,missingness,notes
TARGET-1,target_round_count,13,rounds,1-13,complete,"Measurement target excludes round 14 to avoid circular self-measurement."
ST-1,stage_transition_rate,0.5833,share_of_adjacent_round_pairs,1-13,partial_inferred,"7 of 12 adjacent pairs change stage; stages for rounds 1-3 come from inquiry/index.md retrospective classification."
ST-1A,stage_count_formation,1,rounds,1-13,partial_inferred,"Round 1."
ST-1B,stage_count_enrichment,8,rounds,1-13,partial_inferred,"Rounds 2,5,6,9,10,11,12,13."
ST-1C,stage_count_critique,1,rounds,1-13,partial_inferred,"Round 7."
ST-1D,stage_count_contestation,1,rounds,1-13,partial_inferred,"Round 3."
ST-1E,stage_count_consolidation,2,rounds,1-13,partial_inferred,"Rounds 4 and 8."
ST-2,time_to_first_contestation_rounds,2,rounds_after_formation,1-13,partial_inferred,"First contestation is round 3; formation is round 1."
ST-2D,time_to_first_contestation_days,0,calendar_days,1-13,partial_inferred,"Both formation and first contestation are dated 2026-07-16."
ST-3,contestation_round_count,1,rounds,1-13,partial_inferred,"Only round 3 is contestation-stage."
ST-4,time_to_first_consolidation_from_formation_rounds,3,rounds_after_formation,1-13,complete,"First consolidation is round 4; formation is round 1."
ST-4A,time_to_first_consolidation_from_contestation_rounds,1,rounds_after_first_contestation,1-13,partial_inferred,"First consolidation is one round after the first contestation round."
ST-4D,time_to_first_consolidation_from_formation_days,3,calendar_days,1-13,complete,"Formation dated 2026-07-16; first consolidation dated 2026-07-19."
ST-5,post_consolidation_supersession_round_rate,0.4444,share_of_post_first_consolidation_rounds,1-13,complete_current_metadata,"Rounds 7,11,12,13 establish current concept files with fc-supersedes after first consolidation; denominator rounds 5-13."
ST-5C,post_consolidation_current_superseded_concepts,19,current_concept_files,1-13,complete_current_metadata,"Current concept files only; git-history lineage not expanded."
ST-6,re_litigation_rate,NOT_MEASURABLE,rate,1-13,not_available,"No stable issue identifiers or same-settled-point metadata are recorded."
ST-7,evidence_move_share,0.6923,share_of_rounds,1-13,complete,"9 of 13 rounds have fc-move: evidence; this does not count evidence items."
ST-8,frame_change_frequency,0.1538,share_of_rounds,1-13,complete,"2 of 13 rounds have fc-move: frame-change."
ST-9,observer_handoff_frequency,0.1667,share_of_adjacent_round_pairs,1-13,complete,"2 of 12 adjacent party transitions change party."
TT-1,type_descent_rate,NOT_MEASURABLE,rate,1-13,not_available,"Only one contestation round exists."
TT-2,type_stall_rate,NOT_MEASURABLE,rate,1-13,not_available,"Only one contestation round exists."
TT-3,type_reversal_rate,NOT_MEASURABLE,rate,1-13,not_available,"Only one contestation round exists."
TT-4,type_oscillation_rate,NOT_MEASURABLE,rate,1-13,not_available,"Only one contestation round exists."
PC-1,round_file_completeness,1.0000,share_of_expected_round_files,1-13,complete,"13 of 13 contiguous inquiry/round-NNNN.md files are present."
PC-2,round_party_completeness,1.0000,share_of_rounds,1-13,complete,"13 of 13 round files have fc-party."
PC-3,round_move_completeness,1.0000,share_of_rounds,1-13,complete,"13 of 13 round files have fc-move."
PC-4,round_stage_frontmatter_completeness,0.7692,share_of_rounds,1-13,historical_gap,"10 of 13 round files have fc-stage frontmatter; rounds 1-3 predate v3."
PC-5,round_stage_availability_including_index,1.0000,share_of_rounds,1-13,partial_inferred,"13 of 13 rounds have stages in inquiry/index.md; 3 are retrospective classifications."
PC-6,round_touches_completeness,1.0000,share_of_rounds,1-13,complete,"13 of 13 round files have fc-touches."
DL-1,description_length_mean_ratio_claude_over_codex,4.039,mean_word_count_ratio,1-13,complete_but_confounded,"Round body word counts excluding frontmatter; representation-dependent demonstration only."
DL-2,description_length_median_ratio_claude_over_codex,2.903,median_word_count_ratio,1-13,complete_but_confounded,"Round body word counts excluding frontmatter; representation-dependent demonstration only."
OD-1,predicted_continuation_divergence,NOT_MEASURABLE,normalized_divergence,1-13,not_available,"No timestamped competing predictions over future rounds were recorded."
OD-2,forced_classification_disagreement_rate,NOT_MEASURABLE,rate,1-13,not_available,"No independent paired labels over a shared item set were recorded."
OD-6,deepest_common_disclosure_level,NOT_MEASURABLE,level,1-13,not_available,"The bundle has disclosure levels but not parallel party accounts at each level."
